Locuteur,Start Time (s),Duree (s),Types de disfluences
2,6.1,0.7,pauseB
4,8.2,1.0,pauseB
5,9.2,0.5,répétition
7,10.7,0.2,amorce
8,10.9,0.4,répétition
10,11.9,0.8,pauseB
12,16.2,0.6,répétition
14,17.9,0.9,amorce
16,18.8,0.7,pauseB
18,21.1,0.5,hésitation
20,26.7,0.9,hésitation
22,28.9,0.6,pauseB
24,34.0,0.5,répétion
26,34.9,1.0,pause longue
27,35.9,0.5,hésitation
28,36.5,1.2,répétition
30,40.9,0.7,pauseB
32,42.8,0.9,pauseB
34,44.2,0.4,répétition
36,49.3,1.3,répétition
38,50.7,0.4,prolongement
40,53.5,0.6,hésitation
42,56.0,1.2,répétition
44,58.9,0.6,répétition
46,62.4,0.5,pauseB
48,65.5,0.4,pauseB
49,65.9,0.9,prolongement
51,68.7,0.5,hésitation
53,74.2,0.2,pauseB
55,76.0,0.4,amorce
57,76.8,0.5,hésitation
59,78.3,0.4,hésitation
61,80.4,0.3,hésitation
63,85.0,0.3,répétition
65,92.2,0.4,pauseB
67,93.1,0.5,amorce
69,96.5,0.8,répétition
71,98.0,0.2,pauseB
73,108.6,0.5,répétition
75,109.3,0.3,répétition
77,114.5,0.4,répétition
79,116.0,0.5,répétition
81,118.2,0.4,pauseB
82,118.6,0.6,hésitation
84,123.5,0.6,pauseB
86,124.2,2.1,répétition
88,130.8,1.8,répétition
90,133.0,0.7,hésitation
92,134.5,1.0,hésitation
94,138.5,0.3,pauseB
96,141.9,0.6,répétition
98,148.1,0.5,pauseB
100,149.7,1.3,répétition
101,151.0,0.7,répétition
102,151.8,0.7,hésitation
104,152.6,0.4,répétition
106,153.7,0.3,répétition
108,156.0,0.5,pauseB
110,160.2,0.5,pauseB
111,160.8,0.7,répétition
113,167.2,0.9,prolongement
115,168.8,0.3,hésitation
117,170.5,0.2,amorce
119,172.5,0.7,hésitation
121,174.6,0.5,hésitation
123,177.1,0.3,pauseB