Locuteur;Début (s);Durée (s);Types de disfluences;Position syntaxique;Contexte
L1;6.1;0.7;pauseB;après le prédicat et avant l'objet direct;réduire + les journées
L1;8.2;1.0;pauseB;après la préposition;les journées de + pour pour l'avenir 
L1;9.2;0.5;répétition;La préposition;pour pour l'avenir 
L1;10.7;0.2;amorce;L’objet direct;réduire les jou- les les soirées de + football 
L1;10.9;0.4;répétition;Le déterminant;réduire les jou- les les soirées de + football 
L1;11.9;0.8;pauseB;après la préposition;réduire les jou- les les soirées de + football 
L3;16.2;0.6;répétition;Le sujet;non ça ça se discute pas comme ça
L3;17.9;0.9;amorce;Le déterminant du sujet;" ""Le + La Coupe du Monde"""
L3;18.8;0.7;pauseB;Avant le sujet;" ""Le + La Coupe du Monde"""
L3;21.1;0.5;hésitation;Avant le complément circonstanciel;durerait avant euh à 24 équipes durerait 31 jours à 32 équipes
L3;26.7;0.6;hésitation;Avant l’objet direct;y a quand même euh 6 équipes de plus +
L3;28.9;0.7;pauseB;Avant la conjonction;y a quand même euh de plus + et 12 matchs de plus
L3;34.0;0.5;répétition;Le prédicat;il faut les faut les caser
L3;34.9;1.0;pause longue;Entre deux phrase;
L3;35.9;0.5;hésitation;Avant la phrase;euh on peut 
L3;36.5;1.2;répétition;Le sujet et le prédicat;euh on peut on peut éventuellemnt réduire
L3;40.9;0.7;pauseB;Avant le complément circonstanciel; + quatre à cinq matchs par jour + 
L3;42.8;0.9;pauseB;Après la phrase; + quatre à cinq matchs par jour + 
L3;44.2;0.4;répétition;Le sujet;c'est c'est mathématique
L2;49.3;1.3;répétition;Le complément circonstanciel;à 28 jours 28 jours de
L2;50.7;0.4;prolongement;Le complément circonstanciel;à 28 jours 28 jours de
L3;53.5;0.6;hésitation;Avant la phrase;euh écoutez si vous avez mis des matchs
L3;56.0;1.2;répétition;épithète;si vous avez mis des matchs France euh France
L3;58.9;0.6;répétition;Adverbe;non non
L3;62.4;0.5;pauseB;L’objet direct;si vous mettiez France + Afrique du Sud à 21 heures
L3;65.5;0.4;pauseB;Avant le complément circonstanciel;vous =z= avez d'un autre match + à Lance
L3;65.9;0.9;prolongement;Le complément circonstanciel;à Lance
L3;68.7;0.5;hésitation;Avant l’objet direct; je sais pas euh
L3;74.2;0.2;pauseB;À la fin de la phrase;n'ont pas passé à 32 équipes aussi +
L3;76.0;0.4;amorce;Le déterminant du sujet;des la FIFA ah y a pas ça 32 équipes
L3;76.8;0.5;hésitation;Après le sujet;des la FIFA ah y a pas ça 32 équipes
L2;78.3;0.4;hésitation;Avant la phrase;hum le bilan tout de même
L2;80.4;0.3;hésitation;Avant le complément circonstanciel;c'est qu'on se retrouve euh avec des grands pays en finale
L2;85.0;0.3;répétition;Le sujet;qu'il il est issu la Croatie est issue d'une grande équipe
L2;92.2;0.4;pauseB;Avant le complément circonstanciel;les grands pays riches + dans le la dernière ligne droite
L2;93.1;0.5;amorce;Le déterminant;dans le la dernière ligne droite
L3;96.5;0.8;répétition;adjectif ;c'est de meilleurs les meilleurs équipes
L2;98.0;0.2;pauseB;Avant la conjonction;oui + et à quoi ça sert
L2;108.6;0.5;répétition;Le sujet;oui c'est c'est important
L2;109.3;0.3;répétition;La préposition;oui c'est c'est important de de le dire nous avons Christophe en ligne bonjour
L4;114.5;0.4;répétition;;oui bonjour < bonjour Michel Patini >
L4;116.0;0.5;répétition;Le sujet et le prédicat;ces gens qui ont 35 ans et qui ont qui ont rêvé
L4;118.2;0.4;pauseB;Avant la phrase;+ euh ne regrettez vous pas d'avoir mis fin à votre carrière et de pas être présents sur le terrain ce soir
L4;118.6;0.6;hésitation;Avant la phrase;+ euh ne regrettez vous pas d'avoir mis fin à votre carrière et de pas être présents sur le terrain ce soir
L3;123.5;0.6;pauseB;Avant la phrase;(rire) + 43 =z= ans (rire) 43 =z= ans
L3;124.2;2.1;répétition;;(rire) + 43 =z= ans (rire) 43 =z= ans
L3;130.8;1.8;répétition;adjectif ;c'est =t= une belle + une belle vengeance euh fin une belle aide euh à 
L3;133.0;0.7;hésitation;Après la phrase;c'est =t= une belle + une belle vengeance euh fin une belle aide euh à 
L3;134.5;1.0;hésitation;Avant le complément circonstanciel;une belle aide euh à 
L3;138.5;0.3;pauseB;Après la phrase;pour gagner la Coupe du monde +
L3;141.9;0.6;répétition;Le début de la proposition;qu'on gagne qu'on a qu'on gagn
L2;148.1;0.5;pauseB;Après la phrase;j'aurais pu être à sa place + < quel pied quel pied 
L3;149.7;1.3;répétition;Adverbe;non * non non > non non je crois je crois que euh non je suis pas comme ça
L3;151.0;0.7;répétition;Le sujet et le prédicat;je crois je crois que euh non je suis pas comme ça
L3;151.8;0.7;hésitation;Avant la phrase;euh non je suis pas comme ça
L3;152.6;0.4;répétition;Adverbe;non je suis pas comme ça non
L3;153.7;0.3;répétition;Adverbe;non je suis pas comme ça non
L3;156.0;0.5;pauseB;Avant la phrase;+ on ne vit pas comme des vieux cons 
L3;160.3;0.5;pauseB;Avant la proposition;parce que + on est on est fier
L3;160.8;0.7;répétition;Le sujet et le prédicat;parce que + on est on est fier
L2;167.2;0.9;prolongement;Le complément circonstanciel;avec nous
L2;168.8;0.3;hésitation;Après la phrase;avec nous à cette table hum 
L5;170.5;0.2;amorce;Le prédicat;bonjour Christophe vous a-
L2;172.5;0.7;hésitation;après la préposition;vous aviez envie avec nous de euh commencer
L2;174.6;0.5;hésitation;Après la phrase;vous aviez envie avec nous de euh commencer à fermer la boutique euh
L2;177.1;0.3;pauseB;Avant la proposition;dire quelques mots à Michel Platini parce que + c'est vrai 